algorithm,name,description,qgis_type
3d:tessellate,INPUT,Input layer,source
3d:tessellate,OUTPUT,Tessellated,sink
gdal:aspect,INPUT,Input layer,raster
gdal:aspect,BAND,Band number,band
gdal:aspect,TRIG_ANGLE,Return trigonometric angle instead of azimuth,boolean
gdal:aspect,ZERO_FLAT,Return 0 for flat instead of -9999,boolean
gdal:aspect,COMPUTE_EDGES,Compute edges,boolean
gdal:aspect,OPTIONS,Additional creation options,string
gdal:aspect,EXTRA,Additional command-line parameters,string
gdal:aspect,OUTPUT,Aspect,rasterDestination
gdal:assignprojection,INPUT,Input layer,raster
gdal:assignprojection,CRS,Desired CRS,crs
gdal:buffervectors,INPUT,Input layer,source
gdal:buffervectors,GEOMETRY,Geometry column name,string
gdal:buffervectors,DISTANCE,Buffer distance,distance
gdal:buffervectors,FIELD,Dissolve by attribute,field
gdal:buffervectors,DISSOLVE,Dissolve all results,boolean
gdal:buffervectors,EXPLODE_COLLECTIONS,Produce one feature for each geometry in any kind of geometry collection in the source file,boolean
gdal:buffervectors,OPTIONS,Additional creation options,string
gdal:buffervectors,OUTPUT,Buffer,vectorDestination
gdal:buildvirtualraster,INPUT,Input layers,multilayer
gdal:buildvirtualraster,RESOLUTION,Resolution,enum
gdal:buildvirtualraster,SEPARATE,Place each input file into a separate band,boolean
gdal:buildvirtualraster,PROJ_DIFFERENCE,Allow projection difference,boolean
gdal:buildvirtualraster,ADD_ALPHA,Add alpha mask band to VRT when source raster has none,boolean
gdal:buildvirtualraster,ASSIGN_CRS,Override projection for the output file,crs
gdal:buildvirtualraster,RESAMPLING,Resampling algorithm,enum
gdal:buildvirtualraster,EXTRA,Additional command-line parameters,string
gdal:buildvirtualraster,OUTPUT,Virtual,rasterDestination
gdal:buildvirtualvector,INPUT,Input datasources,multilayer
gdal:buildvirtualvector,OUTPUT,Virtual vector,vectorDestination
gdal:cliprasterbyextent,INPUT,Input layer,raster
gdal:cliprasterbyextent,PROJWIN,Clipping extent,extent
gdal:cliprasterbyextent,NODATA,Assign a specified nodata value to output bands,number
gdal:cliprasterbyextent,OPTIONS,Additional creation options,string
gdal:cliprasterbyextent,DATA_TYPE,Output data type,enum
gdal:cliprasterbyextent,EXTRA,Additional command-line parameters,string
gdal:cliprasterbymasklayer,INPUT,Input layer,raster
gdal:cliprasterbymasklayer,MASK,Mask layer,source
gdal:cliprasterbymasklayer,SOURCE_CRS,Source CRS,crs
gdal:cliprasterbymasklayer,TARGET_CRS,Target CRS,crs
gdal:cliprasterbymasklayer,NODATA,Assign a specified nodata value to output bands,number
gdal:cliprasterbymasklayer,ALPHA_BAND,Create an output alpha band,boolean
gdal:cliprasterbymasklayer,CROP_TO_CUTLINE,Match the extent of the clipped raster to the extent of the mask layer,boolean
gdal:cliprasterbymasklayer,KEEP_RESOLUTION,Keep resolution of input raster,boolean
gdal:cliprasterbymasklayer,SET_RESOLUTION,Set output file resolution,boolean
gdal:cliprasterbymasklayer,X_RESOLUTION,X Resolution to output bands,number
gdal:cliprasterbymasklayer,Y_RESOLUTION,Y Resolution to output bands,number
gdal:cliprasterbymasklayer,MULTITHREADING,Use multithreaded warping implementation,boolean
