algorithm,name,description,qgis_output_type
3d:tessellate,OUTPUT,Tessellated,outputVector
gdal:aspect,OUTPUT,Aspect,outputRaster
gdal:assignprojection,OUTPUT,Layer with projection,outputRaster
gdal:buffervectors,OUTPUT,Buffer,outputVector
gdal:buildvirtualraster,OUTPUT,Virtual,outputRaster
gdal:buildvirtualvector,OUTPUT,Virtual vector,outputVector
gdal:buildvirtualvector,VRT_STRING,Virtual string,outputString
gdal:cliprasterbyextent,OUTPUT,Clipped ,outputRaster
gdal:cliprasterbymasklayer,OUTPUT,Clipped ,outputRaster
gdal:clipvectorbyextent,OUTPUT,Clipped ,outputVector
gdal:clipvectorbypolygon,OUTPUT,Clipped ,outputVector
gdal:colorrelief,OUTPUT,Color relief,outputRaster
gdal:contour,OUTPUT,Contours,outputVector
gdal:contour_polygon,OUTPUT,Contours,outputVector
gdal:convertformat,OUTPUT,Converted,outputVector
gdal:dissolve,OUTPUT,Dissolved,outputVector
gdal:executesql,OUTPUT,SQL result,outputVector
gdal:extractprojection,WORLD_FILE,World file,outputFile
gdal:extractprojection,PRJ_FILE,ESRI Shapefile prj file,outputFile
gdal:fillnodata,OUTPUT,Filled,outputRaster
gdal:gdal2tiles,OUTPUT,Output directory,outputFolder
gdal:gdal2xyz,OUTPUT,XYZ ASCII file,outputFile
gdal:gdalinfo,OUTPUT,Layer information,outputHtml
gdal:gridaverage,OUTPUT,Interpolated ,outputRaster
gdal:griddatametrics,OUTPUT,Interpolated ,outputRaster
gdal:gridinversedistance,OUTPUT,Interpolated ,outputRaster
gdal:gridinversedistancenearestneighbor,OUTPUT,Interpolated ,outputRaster
gdal:gridlinear,OUTPUT,Interpolated ,outputRaster
gdal:gridnearestneighbor,OUTPUT,Interpolated ,outputRaster
gdal:hillshade,OUTPUT,Hillshade,outputRaster
gdal:importvectorintopostgisdatabaseavailableconnections,NA,NA,NA
gdal:importvectorintopostgisdatabasenewconnection,NA,NA,NA
gdal:merge,OUTPUT,Merged,outputRaster
gdal:nearblack,OUTPUT,Nearblack,outputRaster
gdal:offsetcurve,OUTPUT,Offset curve,outputVector
gdal:ogrinfo,OUTPUT,Layer information,outputHtml
gdal:onesidebuffer,OUTPUT,One,outputVector
gdal:overviews,OUTPUT,Pyramidized,outputRaster
gdal:pansharp,OUTPUT,Output,outputRaster
gdal:pcttorgb,OUTPUT,PCT to RGB,outputRaster
gdal:pointsalonglines,OUTPUT,Points along lines,outputVector
gdal:polygonize,OUTPUT,Vectorized,outputVector
gdal:proximity,OUTPUT,Proximity map,outputRaster
gdal:rastercalculator,OUTPUT,Calculated,outputRaster
gdal:rasterize,OUTPUT,Rasterized,outputRaster
gdal:rasterize_over,OUTPUT,Rasterized,outputRaster
gdal:rasterize_over_fixed_value,OUTPUT,Rasterized,outputRaster
gdal:rearrange_bands,OUTPUT,Converted,outputRaster
gdal:retile,OUTPUT,Output directory,outputFolder
gdal:retile,OUTPUT_CSV,CSV file containing the tile,outputFile
gdal:rgbtopct,OUTPUT,RGB to PCT,outputRaster
gdal:roughness,OUTPUT,Roughness,outputRaster
gdal:sieve,OUTPUT,Sieved,outputRaster
gdal:slope,OUTPUT,Slope,outputRaster
gdal:tileindex,OUTPUT,Tile index,outputVector
gdal:tpitopographicpositionindex,OUTPUT,Topographic Position Index,outputRaster
gdal:translate,OUTPUT,Converted,outputRaster
gdal:triterrainruggednessindex,OUTPUT,Terrain Ruggedness Index,outputRaster
gdal:viewshed,OUTPUT,Output,outputRaster
gdal:warpreproject,OUTPUT,Reprojected,outputRaster
grass7:i.albedo,output,Albedo,outputRaster
grass7:i.aster.toar,output,Output Directory,outputFolder
grass7:i.atcorr,output,Atmospheric correction,outputRaster
grass7:i.biomass,output,Biomass,outputRaster
grass7:i.cca,output,Output Directory,outputFolder
grass7:i.cluster,signaturefile,Signature File,outputFile
grass7:i.cluster,reportfile,Final Report File,outputFile
grass7:i.colors.enhance,redoutput,Enhanced Red,outputRaster
grass7:i.colors.enhance,greenoutput,Enhanced Green,outputRaster
grass7:i.colors.enhance,blueoutput,Enhanced Blue,outputRaster
