algorithm,name,description,qgis_output_type
3d:tessellate,OUTPUT,Tessellated,outputVector
NetworkGT:1D Flow,1D Flow,1D Flow,outputVector
NetworkGT:2D Flow,outGrid,2D Flow Grid,outputVector
NetworkGT:Aperture,Output,Aperture,outputVector
NetworkGT:Branches and Nodes,Branches,Branches,outputVector
NetworkGT:Branches and Nodes,Nodes,Nodes,outputVector
NetworkGT:Clusters,Output Clusters,Output Clusters,outputVector
NetworkGT:Clusters,Output Statistics,Statistics,outputFile
NetworkGT:Connect Y Nodes,Connect Y Nodes,Snap Y Nodes,outputVector
NetworkGT:Contour Grid,Grid,Grid,outputVector
NetworkGT:Define Fracture Lines,Output,Output,outputVector
NetworkGT:Define Sets,Output,Output,outputVector
NetworkGT:Digitise Fracture Network,Network,Network,outputVector
NetworkGT:Grid Calculator,outGrid,Grid Calculation,outputVector
NetworkGT:Grid Statistics,outGrid,Calculated Statistics,outputVector
NetworkGT:Identify Blocks,Blocks,Identified Blocks,outputVector
NetworkGT:Identify Blocks,Output,Output,outputVector
NetworkGT:Line Grid,Line Grid,Line Grid,outputVector
NetworkGT:Percolation,Output,Percolation,outputVector
NetworkGT:Permeability Tensor,Output,Permeability Tensor,outputVector
NetworkGT:Repair Topology,Intermediate Step,Multiple Intersections Repair,outputVector
NetworkGT:Repair Topology,Output,Repaired,outputVector
NetworkGT:Shortest Pathway,Shorestest Pathway,Shortest Pathway,outputVector
NetworkGT:Simplify Network,Simplified,Simplified Network,outputVector
NetworkGT:Snap Nodes,Snap I Nodes,Snapped Nodes,outputVector
NetworkGT:Theoretical Blocks,Output,Output,outputVector
NetworkGT:Thresholding,Output Raster,Output Raster,outputRaster
NetworkGT:Topology Parameters,Topology Parameters,Topology Parameters,outputVector
NetworkGT:Tortuosity,Tortuosity Line,Tortuosity,outputVector
NetworkGT:Trim and Extend,Output,Output,outputVector
Networks:GravityIndicators,Output,Output,outputFile
Networks:MintNetwork,MintNetworkFile,Mint network file,outputFile
Networks:MultimodalGravityIndicators,Output,Output,outputFile
Networks:auto_connectors,CONNECTEURS,Connectors file,outputVector
Networks:build_connectors,CONNECTEURS,Connectors file,outputVector
Networks:build_graph,NOEUDS,Nodes layer,outputVector
Networks:concatenate_network_files,DESTINATION,Global network,outputFile
Networks:concatenate_networks_folder,DESTINATION,Global network,outputFile
Networks:create_update_links,OUTPUT,Result network,outputVector
Networks:get_link_flows_data,OUTPUT,Flows layer,outputVector
Networks:gtfs_import,REP_SORTIE,Ouput folder,outputFolder
Networks:import_gtfs_v2,OUTPUT,Mint network layer,outputVector
Networks:indicators_by_OD,FICHIER_RESULTAT,OD indicator file,outputFile
Networks:indicators_by_link,FICHIER_RESULTAT,Link indicators file,outputFile
Networks:indicators_by_link_and_day,FICHIER_RESULTAT,Link indicators file,outputFile
Networks:indicators_by_link_multiple_points,FICHIER_RESULTAT,Link indicators file,outputFile
Networks:indicators_by_node,FICHIER_RESULTAT,Nodes indicators file,outputFile
Networks:indicators_by_node_and_day,FICHIER_RESULTAT,Nodes indicators file,outputFile
Networks:indicators_by_node_customized,FICHIER_RESULTAT,Nodes indicators file,outputFile
Networks:indicators_by_path,FICHIER_RESULTAT,Path indicators file,outputFile
Networks:isolated_nodes,NOEUDS_UTILES,Connected nodes,outputVector
Networks:isovalues_polygons,CONTOURS,Isovalue polygons,outputVector
Networks:linear_interpolation,RESULTAT,Raster file,outputRaster
Networks:mint_calculation,SORTIE,Output,outputFile
Networks:mint_parameters,output,Mint parameters file,outputFile
Networks:musliw_calculation,SORTIE,Output,outputFile
Networks:musliw_individual_network,OUTPUT,Musliw network,outputFile
Networks:musliw_matrix_double_list,SORTIE,Musliw matrix,outputFile
Networks:musliw_matrix_simple_list,SORTIE,Musliw matrix,outputFile
Networks:musliw_matrix_table,SORTIE,Musliw matrix,outputFile
Networks:musliw_parameters,SORTIE,Parameters file,outputFile
Networks:musliw_simple_matrix,OUTPUT,Musliw matrix,outputFile
Networks:musliw_timetable_network,OUTPUT,Musliw timetable network,outputFile
Networks:path_analysis,OUTPUT,Output,outputVector
Networks:preparegtfs,REP_RESULTAT,GTFS output folder,outputFolder
Networks:reverse,RESULTAT,Reverted network,outputVector
Networks:routes,OUTPUT,Output,outputVector
Networks:spatialaggregation,RESULT,Output,outputVector
Networks:ti_arcs,OUTPUT,Output layer,outputVector
Networks:variable_buffer_polygons,POLYGONES,Variable buffer polygons,outputVector
Valhalla:directions_from_point_layer_auto,OUTPUT,Routing Auto From Point,outputVector
Valhalla:directions_from_point_layer_bicycle,OUTPUT,Routing Bicycle From Point,outputVector
Valhalla:directions_from_point_layer_pedestrian,OUTPUT,Routing Pedestrian From Point,outputVector
Valhalla:directions_from_point_layer_truck,OUTPUT,Routing Truck From Point,outputVector
Valhalla:directions_from_points_2_layers_auto,OUTPUT,Routing Auto From 2 Points,outputVector
Valhalla:directions_from_points_2_layers_bicycle,OUTPUT,Routing Bicycle From 2 Points,outputVector
Valhalla:directions_from_points_2_layers_pedestrian,OUTPUT,Routing Pedestrian From 2 Points,outputVector
Valhalla:directions_from_points_2_layers_truck,OUTPUT,Routing Truck From 2 Points,outputVector
Valhalla:directions_from_polylines_auto,OUTPUT,Routing Auto From LineString,outputVector
Valhalla:directions_from_polylines_bicycle,OUTPUT,Routing Bicycle From LineString,outputVector
Valhalla:directions_from_polylines_pedestrian,OUTPUT,Routing Pedestrian From LineString,outputVector
Valhalla:directions_from_polylines_truck,OUTPUT,Routing Truck From LineString,outputVector
Valhalla:isochrones_auto,OUTPUT_DISTANCE,Isodistances auto,outputVector
Valhalla:isochrones_auto,OUTPUT_INPUT_POINTS,,outputVector
Valhalla:isochrones_auto,OUTPUT_SNAPPED_POINTS,,outputVector
Valhalla:isochrones_auto,OUTPUT_TIME,Isochrones auto,outputVector
Valhalla:isochrones_bicycle,OUTPUT_DISTANCE,Isodistances bicycle,outputVector
Valhalla:isochrones_bicycle,OUTPUT_INPUT_POINTS,,outputVector
Valhalla:isochrones_bicycle,OUTPUT_SNAPPED_POINTS,,outputVector
Valhalla:isochrones_bicycle,OUTPUT_TIME,Isochrones bicycle,outputVector
Valhalla:isochrones_pedestrian,OUTPUT_DISTANCE,Isodistances pedestrian,outputVector
Valhalla:isochrones_pedestrian,OUTPUT_INPUT_POINTS,,outputVector
Valhalla:isochrones_pedestrian,OUTPUT_SNAPPED_POINTS,,outputVector
Valhalla:isochrones_pedestrian,OUTPUT_TIME,Isochrones pedestrian,outputVector
Valhalla:isochrones_truck,OUTPUT_DISTANCE,Isodistances truck,outputVector
Valhalla:isochrones_truck,OUTPUT_INPUT_POINTS,,outputVector
Valhalla:isochrones_truck,OUTPUT_SNAPPED_POINTS,,outputVector
Valhalla:isochrones_truck,OUTPUT_TIME,Isochrones truck,outputVector
Valhalla:matrix_auto,OUTPUT,Matrix Auto,outputVector
Valhalla:matrix_bicycle,OUTPUT,Matrix Bicycle,outputVector
Valhalla:matrix_pedestrian,OUTPUT,Matrix Pedestrian,outputVector
Valhalla:matrix_truck,OUTPUT,Matrix Truck,outputVector
cartographytools:averagelines,OUTPUT,Output layer,outputVector
cartographytools:collapsedualcarriageway,OUTPUT,Output layer,outputVector
cartographytools:removecrossroads,OUTPUT,Output layer,outputVector
cartographytools:removeculdesacs,OUTPUT,Output layer,outputVector
cartographytools:removeroundabouts,OUTPUT,Output layer,outputVector
gdal:aspect,OUTPUT,Aspect,outputRaster
gdal:assignprojection,OUTPUT,Layer with projection,outputRaster
gdal:buffervectors,OUTPUT,Buffer,outputVector
gdal:buildvirtualraster,OUTPUT,Virtual,outputRaster
gdal:buildvirtualvector,OUTPUT,Virtual vector,outputVector
gdal:buildvirtualvector,VRT_STRING,Virtual string,outputString
gdal:cliprasterbyextent,OUTPUT,Clipped (extent),outputRaster
gdal:cliprasterbymasklayer,OUTPUT,Clipped (mask),outputRaster
gdal:clipvectorbyextent,OUTPUT,Clipped (extent),outputVector
gdal:clipvectorbypolygon,OUTPUT,Clipped (mask),outputVector
